ID,Titre,Prix,Date de publication,Année,Type de carburant,Transmission,Créateur,Type de véhicule,Secteur,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,Équipements,Ville du vendeur,Dossier d'images
1,Tractopelle MST M542 avec godet,Prix non spécifié,2025-03-01 15:36:25,N/A,N/A,N/A,HYDRAU MACShopBadge Icon,"Engins BTP, à vendre",Zone Industrielle,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Casablanca,1_Tractopelle_MST_M542_avec_godet
2,Location de voitures,Prix non spécifié,2025-03-01 15:36:25,N/A,N/A,N/A,vog car,"Voitures de location, à louer",2 Mars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Casablanca,2_Location_de_voitures
3,Range Rover SVR FuuL Carbon,Prix non spécifié,2025-03-01 15:36:25,2019,Essence,Automatique,Brookline autoShopBadge Icon,"Voitures d'occasion, à vendre",Centre,70 000 - 74 999,Land Rover,Range Rover,5,Importée neuve,Oui,29 CV,Excellent,N/A,Tanger,3_Range_Rover_SVR_FuuL_Carbon
4,Citroën ami pour location,Prix non spécifié,2025-03-01 15:36:25,N/A,N/A,N/A,vog car,"Voitures de location, à louer",Oulfa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Casablanca,4_Citroën_ami_pour_location
5,Mercedes-Benz Classe E 300de Pack AMG Line plus,Prix non spécifié,2025-03-01 15:36:25,2022,Hybride,Automatique,Brookline autoShopBadge Icon,"Voitures d'occasion, à vendre",2 Mars,60 000 - 64 999,Mercedes-Benz,Classe E,5,Importée neuve,Oui,8 CV,Excellent,N/A,Casablanca,5_Mercedes-Benz_Classe_E_300de_Pack_AMG_Line_plus
6,VW Tiguan,355 000 DH,2025-03-01 15:35:25,2018,Diesel,Automatique,G. Ryad AutoShopBadge Icon,"Voitures d'occasion, à vendre",Safir,140 000 - 149 999,Volkswagen,Tiguan,5,Dédouanée,Oui,8 CV,Excellent,Toit Ouvrant,Tétouan,6_VW_Tiguan
7,Hyundai Creta 2021 BVA DIESEL,230 000 DH,2025-03-01 15:37:25,2021,Diesel,Automatique,GLOBAL OCCAZ TEMARAShopBadge Icon,"Voitures d'occasion, à vendre",Centre Ville,130 000 - 139 999,Hyundai,Creta,5,WW au Maroc,Oui,6 CV,Excellent,N/A,Temara,7_Hyundai_Creta_2021_BVA_DIESEL
8,Ensemble toute saisons de la marque OXFORD,2 890 DH,2025-03-01 15:36:26,N/A,N/A,N/A,DAFY MOTO MAROCShopBadge Icon,"Pièces et accessoires pour véhicules, à vendre",Autre secteur,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Casablanca,8_Ensemble_toute_saisons_de_la_marque_OXFORD
9,BMW SERIE 1 Diesel Automatique 2020 à Rabat,415 000 DH,2025-03-01 15:34:26,2020,Diesel,Automatique,SIARACASH.MAShopBadge Icon,"Voitures d'occasion, à vendre",Agdal,35 000 - 39 999,BMW,Série 1,5,Dédouanée,Oui,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Sièges Cuir, Système De Navigation/GPS, Toit Ouvrant, Verrouillage Centralisé À Distance, Vitres Électriques",Rabat,9_BMW_SERIE_1_Diesel_Automatique_2020_à_Rabat
10,Troc a louer a l’aéroport Mohammed 5,Prix non spécifié,2025-03-01 15:34:26,N/A,N/A,N/A,vog car,"Voitures de location, à louer",2 Mars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Casablanca,10_Troc_a_louer_a_laéroport_Mohammed_5
