ID,Titre,Prix,Date de publication,Année,Type de carburant,Transmission,Créateur,URL de l'annonce,Dossier d'images
1,Hyundai essence,69 000 DH,2025-03-01 15:47:01,2015,Essence,Manuelle,LAVAGE AUTO SAADShopBadge Icon,https://www.avito.ma/fr/2_mars/voitures_d'occasion/Hyundai_essence_55274208.htm,1_Hyundai_essence
2,Porsche Cayenne Hybride sport designe,Prix non spécifié,2025-03-01 15:45:01,2020,Hybride,Automatique,Brookline autoShopBadge Icon,https://www.avito.ma/fr/2_mars/voitures_d'occasion/Porsche_Cayenne_Hybride_sport_designe_55420708.htm,2_Porsche_Cayenne_Hybride_sport_designe
3,MASH FIVE HUNDRED 400 - 0 kilomètre,46 000 DH,2025-03-01 15:47:01,2021,N/A,N/A,DAFY MOTO MAROCShopBadge Icon,https://www.avito.ma/fr/autre_secteur/motos/MASH_FIVE_HUNDRED_400___0_kilom%C3%A8tre_54767596.htm,3_MASH_FIVE_HUNDRED_400_-_0_kilomètre
4,Audi RsQ3 FuuL Carbon,Prix non spécifié,2025-03-01 15:44:01,2021,Essence,Automatique,Brookline autoShopBadge Icon,https://www.avito.ma/fr/centre_ville/voitures_d'occasion/Audi_RsQ3_FuuL_Carbon_55944909.htm,4_Audi_RsQ3_FuuL_Carbon
5,BMW X3 automatique diesel,Prix non spécifié,2025-03-01 15:46:01,2020,Diesel,Automatique,Auto AymaneShopBadge Icon,https://www.avito.ma/fr/lissasfa/voitures_d'occasion/BMW_X3_automatique_diesel_55478590.htm,5_BMW_X3_automatique_diesel
6,HYUNDAI KONA 1.6 GDI 141 HEV BVA LUXE,314 999 DH,2025-03-01 15:46:01,2024,Hybride,Automatique,Global occazShopBadge Icon,https://www.avito.ma/fr/ain_sebaa/voitures_d'occasion/HYUNDAI_KONA_1_6_GDI_141_HEV_BVA_LUXE_56108880.htm,6_HYUNDAI_KONA_16_GDI_141_HEV_BVA_LUXE
7,Hyuandai Tucson location aéroport Mohammed 5,Prix non spécifié,2025-03-01 15:44:01,N/A,N/A,N/A,vog car,https://www.avito.ma/fr/anfa/voitures_de_location/Hyuandai_Tucson_location_a%C3%A9roport_Mohammed_5__55829760.htm,7_Hyuandai_Tucson_location_aéroport_Mohammed_5
8,RANGE ROVER SPORT Diesel 2021 à Casablanca,495 000 DH,2025-03-01 15:43:01,2021,Diesel,Automatique,SIARACASH.MAShopBadge Icon,https://www.avito.ma/fr/2_mars/voitures_d'occasion/RANGE_ROVER_SPORT_Diesel_2021_%C3%A0_Casablanca_55433869.htm,8_RANGE_ROVER_SPORT_Diesel_2021_à_Casablanca
9,داسيا دوستر,350 DH,2025-03-01 15:45:02,N/A,N/A,N/A,LOCATION DE VOITURE NATIONALE ShopBadge Icon,https://www.avito.ma/fr/msalla/voitures_de_location/%D8%AF%D8%A7%D8%B3%D9%8A%D8%A7_%D8%AF%D9%88%D8%B3%D8%AA%D8%B1__54267902.htm,9_داسيا_دوستر
10,Glof 7 diesel automatique,230 000 DH,2025-03-01 15:43:02,2021,Diesel,Automatique,LAVAGE AUTO SAADShopBadge Icon,https://www.avito.ma/fr/2_mars/voitures_d'occasion/Glof_7_diesel_automatique__54985830.htm,10_Glof_7_diesel_automatique
11,Dacia Duster fin 2020,Prix non spécifié,2025-03-01 15:47:02,2020,Diesel,Manuelle,Garage MedyounaShopBadge Icon,https://www.avito.ma/fr/route_d'agadir___essaouira/voitures_d'occasion/Dacia_Duster_fin_2020_56094861.htm,11_Dacia_Duster_fin_2020
12,Mercedes-Benz Classe C220d 2017,Prix non spécifié,2025-03-01 15:47:02,2017,Diesel,Automatique,AutoLand RabatShopBadge Icon,https://www.avito.ma/fr/hay_el_fath/voitures_d'occasion/Mercedes_Benz_Classe_C220d_2017_56089442.htm,12_Mercedes-Benz_Classe_C220d_2017
13,Caddy 2013,87 000 DH,2025-03-01 15:47:02,2008,Diesel,Manuelle,EL ISSAMY AUTOShopBadge Icon,https://www.avito.ma/fr/ahlane/voitures_d'occasion/Caddy_2013_56017220.htm,13_Caddy_2013
14,برتنير فريكو 2010,Prix non spécifié,2025-03-01 15:47:02,N/A,N/A,N/A,Garage MedyounaShopBadge Icon,https://www.avito.ma/fr/route_d'agadir___essaouira/fourgon_et_minibus/%D8%A8%D8%B1%D8%AA%D9%86%D9%8A%D8%B1_%D9%81%D8%B1%D9%8A%D9%83%D9%88_2010_56094842.htm,14_برتنير_فريكو_2010
15,PROPRE PORSCHE MACAN PACK CARBON 60000 KM,Prix non spécifié,2025-03-01 15:44:02,20,Essence,Automatique,LAACHIRI AUTOShopBadge Icon,https://www.avito.ma/fr/californie/voitures_d'occasion/PROPRE_PORSCHE_MACAN_PACK_CARBON_60000_KM_56113161.htm,15_PROPRE_PORSCHE_MACAN_PACK_CARBON_60000_KM
16,SEAT Arona Fr Diesel 09/2022 à Tanger,Prix non spécifié,2025-03-01 15:46:02,2022,Diesel,Manuelle,AUTO AL-QUDSShopBadge Icon,https://www.avito.ma/fr/drissia/voitures_d'occasion/SEAT_Arona_Fr_Diesel_09_2022_%C3%A0_Tanger_56106369.htm,16_SEAT_Arona_Fr_Diesel_092022_à_Tanger
17,Fiat 500 X Diesel Automatique 2022 à Rabat,Prix non spécifié,2025-03-01 15:47:03,2022,Diesel,Automatique,AY,https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Fiat_500_X_Diesel_Automatique_2022_%C3%A0_Rabat_56091769.htm,17_Fiat_500_X_Diesel_Automatique_2022_à_Rabat
18,Renault Express,160 000 DH,2025-03-01 15:46:03,2023,Diesel,Manuelle,Auto EssaguiShopBadge Icon,https://www.avito.ma/fr/ain_sebaa/voitures_d'occasion/Renault_Express__55912446.htm,18_Renault_Express
19,golf 8 hybride essence rechargeable,310 000 DH,2025-03-01 15:47:03,2021,Hybride,Automatique,Focus Tangier,https://www.avito.ma/fr/californie/voitures_d'occasion/golf_8_hybride_essence_rechargeable_55906904.htm,19_golf_8_hybride_essence_rechargeable
20,Porsche Macan T importé neuf 2023,Prix non spécifié,2025-03-01 15:46:03,2023,Essence,Automatique,RT autoShopBadge Icon,https://www.avito.ma/fr/a%C3%AFn_chock/voitures_d'occasion/Porsche_Macan_T_import%C3%A9_neuf_2023_52373824.htm,20_Porsche_Macan_T_importé_neuf_2023
21,Location de voitures a casa,170 DH,2025-03-01 15:45:03,N/A,N/A,N/A,Location de voitures a Casa ProShopBadge Icon,https://www.avito.ma/fr/centre_ville/voitures_de_location/Location_de_voitures_a_casa_55467430.htm,21_Location_de_voitures_a_casa
22,Range Rover Sport autobiographie,Prix non spécifié,2025-03-01 15:46:03,2019,Diesel,Automatique,AUTO REDAShopBadge Icon,https://www.avito.ma/fr/maarif/voitures_d'occasion/Range_Rover_Sport_autobiographie_55973570.htm,22_Range_Rover_Sport_autobiographie
23,Kia Picanto Essence 2022 Manuelle,100 000 DH,2025-03-01 15:43:03,2022,Essence,Manuelle,AutobrokerShopBadge Icon,https://www.avito.ma/fr/anfa/voitures_d'occasion/Kia_Picanto_Essence_2022_Manuelle__56009173.htm,23_Kia_Picanto_Essence_2022_Manuelle
24,MERCEDES c220d pack AMG,155 000 DH,2025-03-01 15:45:04,2009,Diesel,Automatique,GT LINE AUTOShopBadge Icon,https://www.avito.ma/fr/centre_ville/voitures_d'occasion/MERCEDES_c220d_pack_AMG_54919780.htm,24_MERCEDES_c220d_pack_AMG
25,volkswagen touareg,285 000 DH,2025-03-01 15:46:04,2020,Diesel,Automatique,salah,https://www.avito.ma/fr/gu%C3%A9liz/voitures_d'occasion/volkswagen_touareg_56167216.htm,25_volkswagen_touareg
26,fiat fiorino,75 000 DH,2025-03-01 15:46:04,2020,Diesel,Manuelle,hamza,https://www.avito.ma/fr/hay_al_amal/voitures_d'occasion/fiat_fiorino_56167215.htm,26_fiat_fiorino
27,Hyundai accent 6cv Automatique 1er main 2023,145 000 DH,2025-03-01 15:46:04,2023,Diesel,Automatique,Rachid,https://www.avito.ma/fr/2_mars/voitures_d'occasion/Hyundai_accent_6cv_Automatique_1er_main_2023_52121521.htm,27_Hyundai_accent_6cv_Automatique_1er_main_2023
28,Volkswagen T-Roc 2.0 Sport,328 000 DH,2025-03-01 15:43:04,2023,Diesel,Automatique,otoclicShopBadge Icon,https://www.avito.ma/fr/ain_sebaa/voitures_d'occasion/Volkswagen_T_Roc_2_0_Sport_55833007.htm,28_Volkswagen_T-Roc_20_Sport
29,Dacia Dokker 6 portes,148 000 DH,2025-03-01 15:45:04,2021,Diesel,Manuelle,AzizShopBadge Icon,https://www.avito.ma/fr/el_houda/voitures_d'occasion/Dacia_Dokker_6_portes_55318079.htm,29_Dacia_Dokker_6_portes
30,Volkswagen Tiguan Diesel Automatique 2019 à Agadir,Prix non spécifié,2025-03-01 15:46:04,2019,Diesel,Automatique,AL moukaouama autoShopBadge Icon,https://www.avito.ma/fr/av_mokawama/voitures_d'occasion/Volkswagen_Tiguan_Diesel_Automatique_2019_%C3%A0_Agadir_56057848.htm,30_Volkswagen_Tiguan_Diesel_Automatique_2019_à_Agadir
31,Mercedes E350 ded 2014,Prix non spécifié,2025-03-01 15:45:04,2012,Diesel,Automatique,Auto AliShopBadge Icon,https://www.avito.ma/fr/hay_el_fath/voitures_d'occasion/Mercedes_E350_ded_2014_55935170.htm,31_Mercedes_E350_ded_2014
32,كيا بيكانتو,50 000 DH,2025-03-01 15:45:05,2006,Essence,Manuelle,Automobiles chamalShopBadge Icon,https://www.avito.ma/fr/jirrari/voitures_d'occasion/%D9%83%D9%8A%D8%A7_%D8%A8%D9%8A%D9%83%D8%A7%D9%86%D8%AA%D9%88__54258125.htm,32_كيا_بيكانتو
33,Bentley Bentayga V8 Essence Pack Mulliner 2022,Prix non spécifié,2025-03-01 15:43:05,2022,Essence,Automatique,Hivernage autoShopBadge Icon,https://www.avito.ma/fr/maarif/voitures_d'occasion/Bentley_Bentayga_V8_Essence_Pack_Mulliner_2022_54716166.htm,33_Bentley_Bentayga_V8_Essence_Pack_Mulliner_2022
34,Hyundai veracruz,Prix non spécifié,2025-03-01 15:44:05,2009,Diesel,Automatique,Mobile autoShopBadge Icon,https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Hyundai_veracruz_53810320.htm,34_Hyundai_veracruz
35,Mercedes-Benz Classe E 300de Pack AMG Line plus,Prix non spécifié,2025-03-01 15:40:05,2022,Hybride,Automatique,Brookline autoShopBadge Icon,https://www.avito.ma/fr/agdal/voitures_d'occasion/Mercedes_Benz_Classe_E_300de_Pack_AMG_Line_plus__55947131.htm,35_Mercedes-Benz_Classe_E_300de_Pack_AMG_Line_plus
